product_id,product_name,category,subcategory,brand,supplier_id,cost_price,retail_price,weight,dimensions,launch_date,status,created_at
PROD_000001,iPhone 15 Pro,electronics,smartphones,Apple,SUP_001,800.00,1200.00,0.19,146x71x8,2023-09-15,active,2024-08-08 10:00:00
PROD_000002,Samsung Galaxy S24,electronics,smartphones,Samsung,SUP_002,700.00,1100.00,0.17,147x71x8,2024-01-20,active,2024-08-08 10:00:00
PROD_000003,MacBook Air M3,electronics,laptops,Apple,SUP_001,1000.00,1500.00,1.24,304x213x11,2024-03-10,active,2024-08-08 10:00:00
PROD_000004,Dell XPS 13,electronics,laptops,Dell,SUP_003,800.00,1300.00,1.19,296x199x14,2023-11-05,active,2024-08-08 10:00:00
PROD_000005,iPad Pro 12.9,electronics,tablets,Apple,SUP_001,900.00,1400.00,0.68,280x215x6,2023-10-25,active,2024-08-08 10:00:00
PROD_000006,Nike Air Max 270,clothing,shoes,Nike,SUP_004,60.00,150.00,0.85,30x20x12,2023-08-15,active,2024-08-08 10:00:00
PROD_000007,Adidas Ultraboost 22,clothing,shoes,Adidas,SUP_005,70.00,180.00,0.90,31x21x13,2023-09-20,active,2024-08-08 10:00:00
PROD_000008,Levi's 501 Jeans,clothing,pants,Levi's,SUP_006,25.00,80.00,0.65,35x25x5,2023-07-10,active,2024-08-08 10:00:00
PROD_000009,H&M Cotton T-Shirt,clothing,shirts,H&M,SUP_007,8.00,25.00,0.20,30x25x2,2023-06-01,active,2024-08-08 10:00:00
PROD_000010,Zara Summer Dress,clothing,dresses,Zara,SUP_008,30.00,90.00,0.35,40x30x3,2024-04-15,active,2024-08-08 10:00:00
PROD_000011,IKEA BILLY Bookshelf,home & garden,furniture,IKEA,SUP_009,40.00,120.00,23.50,80x28x202,2023-05-20,active,2024-08-08 10:00:00
PROD_000012,Philips Air Fryer,home & garden,appliances,Philips,SUP_010,80.00,200.00,4.20,32x32x31,2023-12-08,active,2024-08-08 10:00:00
PROD_000013,Dyson V15 Vacuum,home & garden,appliances,Dyson,SUP_011,300.00,750.00,3.05,25x25x111,2024-02-14,active,2024-08-08 10:00:00
PROD_000014,Wilson Tennis Racket,sports,equipment,Wilson,SUP_012,50.00,150.00,0.30,69x27x3,2023-04-12,active,2024-08-08 10:00:00
PROD_000015,Nike Dri-FIT Shirt,sports,apparel,Nike,SUP_004,15.00,45.00,0.18,35x25x2,2023-08-30,active,2024-08-08 10:00:00
PROD_000016,Adidas Running Shorts,sports,apparel,Adidas,SUP_005,12.00,40.00,0.15,30x20x2,2023-09-15,active,2024-08-08 10:00:00
PROD_000017,Harry Potter Complete Set,books,fiction,Scholastic,SUP_013,80.00,200.00,3.50,20x13x15,2023-01-10,active,2024-08-08 10:00:00
PROD_000018,Python Programming Guide,books,educational,O'Reilly,SUP_014,35.00,85.00,1.20,24x18x3,2023-11-22,active,2024-08-08 10:00:00
PROD_000019,LEGO Creator Set,toys,educational,LEGO,SUP_015,60.00,150.00,2.80,35x19x7,2024-01-05,active,2024-08-08 10:00:00
PROD_000020,PlayStation 5 Controller,toys,electronic,Sony,SUP_016,40.00,120.00,0.28,16x10x6,2023-10-18,active,2024-08-08 10:00:00
PROD_000021,Canon EOS R6,electronics,accessories,Canon,SUP_017,1200.00,2500.00,0.68,138x98x88,2023-07-25,active,2024-08-08 10:00:00
PROD_000022,Sony WH-1000XM5,electronics,accessories,Sony,SUP_016,200.00,400.00,0.25,26x22x8,2024-05-12,active,2024-08-08 10:00:00
PROD_000023,Uniqlo Heattech Shirt,clothing,shirts,Uniqlo,SUP_018,12.00,35.00,0.22,32x26x2,2023-12-01,active,2024-08-08 10:00:00
PROD_000024,Muji Minimalist Lamp,home & garden,decor,Muji,SUP_019,25.00,75.00,1.50,15x15x40,2024-03-20,active,2024-08-08 10:00:00
PROD_000025,Black & Decker Drill,home & garden,tools,Black & Decker,SUP_020,45.00,120.00,1.80,25x20x8,2023-06-18,discontinued,2024-08-08 10:00:00
